Reagan	reagan	Reagan
explains	explain	explains
why	whi	why
the	the	the
protesters	protest	protester
got	got	got
out	out	out
of	of	of
hand	hand	hand
to	to	to
the	the	the
reporters	report	reporter
All	all	All
of	of	of
it	it	it
began	began	began
the	the	the
first	first	first
time	time	time
some	some	some
of	of	of
you	you	you
who	who	who
know	know	know
better	better	better
and	and	and
are	are	are
old	old	old
enough	enough	enough
to	to	to
know	know	know
better	better	better
,	,	,
let	let	let
young	young	young
people	peopl	people
think	think	think
that	that	that
they	they	they
had	had	had
the	the	the
right	right	right
to	to	to
chose	chose	chose
the	the	the
the	the	the
laws	law	law
they	they	they
would	would	would
obey	obey	obey
,	,	,
as	as	a
long	long	long
as	as	a
they	they	they
were	were	were
doing	do	doing
it	it	it
in	in	in
the	the	the
name	name	name
of	of	of
social	social	social
protest	protest	protest
.	.	.
Compare	compar	Compare
and	and	and
contrast	contrast	contrast
Reagan	reagan	Reagan
s	s	s
decision	decis	decision
to	to	to
address	address	address
the	the	the
unlawful	unlaw	unlawful
behavior	behavior	behavior
of	of	of
these	these	these
protesters	protest	protester
,	,	,
to	to	to
Barack	barack	Barack
Obama	obama	Obama
hiding	hide	hiding
from	from	from
the	the	the
press	press	press
,	,	,
yet	yet	yet
meeting	meet	meeting
with	with	with
organizers	organ	organizer
and	and	and
agitators	agit	agitator
of	of	of
these	these	these
radical	radic	radical
groups	group	group
to	to	to
offer	offer	offer
encouragment	encourag	encouragment
to	to	to
the	the	the
violent	violent	violent
,	,	,
unlawful	unlaw	unlawful
protesters	protest	protester
we	we	we
are	are	are
seeing	see	seeing
across	across	across
the	the	the
United	unit	United
States	state	States
today	today	today
.	.	.
Do	do	Do
you	you	you
agree	agre	agree
or	or	or
disagree	disagre	disagree
with	with	with
Reagan	reagan	Reagan
s	s	s
approach	approach	approach
to	to	to
stopping	stop	stopping
the	the	the
protesters	protest	protester
from	from	from
breaking	break	breaking
the	the	the
law	law	law
In	in	In
his	his	his
1966	1966	1966
campaign	campaign	campaign
for	for	for
California	california	California
governor	governor	governor
,	,	,
Republican	republican	Republican
Ronald	ronald	Ronald
Reagan	reagan	Reagan
promised	promis	promised
to	to	to
to	to	to
clean	clean	clean
up	up	up
the	the	the
mess	mess	mess
at	at	at
Berkeley	berkeley	Berkeley
.	.	.
Reagan	reagan	Reagan
was	was	wa
referring	refer	referring
to	to	to
the	the	the
unrest	unrest	unrest
prevalent	preval	prevalent
not	not	not
just	just	just
at	at	at
the	the	the
University	univers	University
of	of	of
California	california	California
,	,	,
Berkeley	berkeley	Berkeley
,	,	,
but	but	but
on	on	on
college	colleg	college
campuses	campus	campus
throughout	throughout	throughout
state	state	state
.	.	.
Students	student	Students
and	and	and
faculty	faculti	faculty
alike	alik	alike
were	were	were
engaged	engag	engaged
in	in	in
protests	protest	protest
,	,	,
demonstrations	demonstr	demonstration
,	,	,
and	and	and
strikes	strike	strike
related	relat	related
to	to	to
issues	issu	issue
such	such	such
as	as	a
the	the	the
draft	draft	draft
,	,	,
civil	civil	civil
rights	right	right
,	,	,
discrimination	discrimin	discrimination
,	,	,
and	and	and
women	women	woman
s	s	s
liberation	liber	liberation
.	.	.
In	in	In
one	one	one
1966	1966	1966
campaign	campaign	campaign
speech	speech	speech
,	,	,
Reagan	reagan	Reagan
declared	declar	declared
that	that	that
many	mani	many
leftist	leftist	leftist
campus	campus	campus
movements	movement	movement
had	had	had
transcended	transcend	transcended
legitimate	legitim	legitimate
protest	protest	protest
,	,	,
with	with	with
the	the	the
actions	action	action
of	of	of
beatniks	beatnik	beatnik
,	,	,
radi	radi	radi
cals	cal	cals
and	and	and
filthy	filthi	filthy
speech	speech	speech
advocates	advoc	advocate
having	have	having
become	becom	become
more	more	more
to	to	to
do	do	do
with	with	with
riot	riot	riot
ing	ing	ing
,	,	,
with	with	with
anarchy	anarchi	anarchy
than	than	than
academic	academ	academic
freedom	freedom	freedom
.	.	.
He	he	He
blamed	blame	blamed
university	univers	university
administrators	administr	administrator
and	and	and
faculty	faculti	faculty
,	,	,
who	who	who
press	press	press
their	their	their
particular	particular	particular
value	valu	value
judgments	judgment	judgment
on	on	on
students	student	student
,	,	,
for	for	for
a	a	a
leadership	leadership	leadership
gap	gap	gap
and	and	and
a	a	a
morality	moral	morality
and	and	and
decency	decenc	decency
gap	gap	gap
on	on	on
campus	campus	campus
,	,	,
and	and	and
suggested	suggest	suggested
a	a	a
code	code	code
of	of	of
conduct	conduct	conduct
be	be	be
imposed	impos	imposed
on	on	on
faculty	faculti	faculty
to	to	to
force	forc	force
them	them	them
to	to	to
serve	serv	serve
as	as	a
examples	exampl	example
of	of	of
good	good	good
behavior	behavior	behavior
and	and	and
decency	decenc	decency
.	.	.
1	1	1
Six	six	Six
months	month	month
after	after	after
Reagan	reagan	Reagan
took	took	took
office	offic	office
in	in	in
1967	1967	1967
,	,	,
he	he	he
wrote	wrote	wrote
this	this	this
letter	letter	letter
to	to	to
Glenn	glenn	Glenn
Dumke	dumk	Dumke
,	,	,
the	the	the
chancellor	chancellor	chancellor
of	of	of
San	san	San
Francisco	francisco	Francisco
State	state	State
College	colleg	College
,	,	,
one	one	one
of	of	of
California	california	California
s	s	s
largest	largest	largest
public	public	public
institutions	institut	institution
.	.	.
Dumke	dumk	Dumke
served	serv	served
as	as	a
the	the	the
public	public	public
face	face	face
of	of	of
the	the	the
state	state	state
college	colleg	college
system	system	system
,	,	,
and	and	and
he	he	he
was	was	wa
a	a	a
staunch	staunch	staunch
opponent	oppon	opponent
of	of	of
radical	radic	radical
student	student	student
and	and	and
faculty	faculti	faculty
demonstrations	demonstr	demonstration
.	.	.
In	in	In
his	his	his
letter	letter	letter
to	to	to
Dumke	dumk	Dumke
,	,	,
Reagan	reagan	Reagan
criticizes	critic	criticizes
liberal	liber	liberal
activism	activ	activism
on	on	on
campuses	campus	campus
.	.	.
He	he	He
condemns	condemn	condemns
these	these	these
people	peopl	people
this	this	this
trash	trash	trash
on	on	on
campuses	campus	campus
as	as	a
well	well	well
as	as	a
the	the	the
excuse	excus	excuse
of	of	of
academic	academ	academic
freedom	freedom	freedom
freedom	freedom	freedom
of	of	of
expression	express	expression
in	in	in
allowing	allow	allowing
protests	protest	protest
and	and	and
demonstrations	demonstr	demonstration
to	to	to
go	go	go
on	on	on
.	.	.
We	we	We
wouldn	wouldn	wouldn
t	t	t
tolerate	toler	tolerate
this	this	this
kind	kind	kind
of	of	of
language	languag	language
in	in	in
front	front	front
of	of	of
our	our	our
families	famili	family
,	,	,
Reagan	reagan	Reagan
writes	write	writes
of	of	of
campus	campus	campus
protesters	protest	protester
.	.	.
He	he	He
urges	urg	urge
Dumke	dumk	Dumke
to	to	to
lay	lay	lay
down	down	down
some	some	some
rules	rule	rule
of	of	of
conduct	conduct	conduct
,	,	,
promising	promis	promising
that	that	that
you	you	you
d	d	d
have	have	have
all	all	all
the	the	the
backing	back	backing
I	i	I
could	could	could
give	give	give
you	you	you
.	.	.
How	how	How
far	far	far
do	do	do
we	we	we
go	go	go
in	in	in
tolerating	toler	tolerating
these	these	these
people	peopl	people
this	this	this
trash	trash	trash
under	under	under
the	the	the
excuse	excus	excuse
of	of	of
academic	academ	academic
freedom	freedom	freedom
freedom	freedom	freedom
of	of	of
expression	express	expression
?	?	?
Please	pleas	Please
understand	understand	understand
,	,	,
that	that	that
question	question	question
isn	isn	isn
t	t	t
made	made	made
in	in	in
any	ani	any
tone	tone	tone
of	of	of
accusation	accus	accusation
.	.	.
I	i	I
mean	mean	mean
myself	myself	myself
too	too	too
in	in	in
that	that	that
use	use	use
of	of	of
the	the	the
term	term	term
we	we	we
.	.	.
We	we	We
wouldn	wouldn	wouldn
t	t	t
let	let	let
a	a	a
LeRoi	leroi	LeRoi
Jones	jone	Jones
in	in	in
our	our	our
livingroom	livingroom	livingroom
and	and	and
we	we	we
wouldn	wouldn	wouldn
t	t	t
tolerate	toler	tolerate
this	this	this
kind	kind	kind
of	of	of
language	languag	language
in	in	in
front	front	front
of	of	of
our	our	our
families	famili	family
.	.	.
Hasn	hasn	Hasn
t	t	t
the	the	the
time	time	time
come	come	come
to	to	to
take	take	take
on	on	on
those	those	those
neurotics	neurot	neurotic
in	in	in
our	our	our
faculty	faculti	faculty
group	group	group
and	and	and
lay	lay	lay
down	down	down
some	some	some
rules	rule	rule
of	of	of
conduct	conduct	conduct
for	for	for
the	the	the
students	student	student
comparable	compar	comparable
to	to	to
what	what	what
we	we	we
d	d	d
expect	expect	expect
in	in	in
our	our	our
own	own	own
families	famili	family
?	?	?
If	if	If
we	we	we
do	do	do
and	and	and
the	the	the
we	we	we
this	this	this
time	time	time
means	mean	mean
you	you	you
d	d	d
have	have	have
all	all	all
the	the	the
backing	back	backing
I	i	I
could	could	could
give	give	give
you	you	you
,	,	,
I	i	I
believe	believ	believe
the	the	the
people	peopl	people
of	of	of
Calif	calif	Calif
.	.	.
would	would	would
take	take	take
the	the	the
state	state	state
college	colleg	college
system	system	system
to	to	to
their	their	their
hearts	heart	heart
.	.	.
illegible	illeg	illegible
RonVia	ronvia	RonVia
The	the	The
Gilder	gilder	Gilder
Lehrman	lehrman	Lehrman
Institute	institut	Institute
of	of	of
American	american	American
History	histori	History
